Id,Story,Story text,Emoji,Created at
9730,2165,,❤️,2019-12-30 19:32:18 UTC
9729,2165,10786,😭,2019-12-30 17:25:38 UTC
9728,1848,,❤️,2019-12-30 06:26:23 UTC
9727,390,2009,❤️,2019-12-29 20:38:12 UTC
9726,2165,,👀,2019-12-29 20:33:34 UTC
9725,2165,,✌🏽,2019-12-29 06:14:10 UTC
9724,396,2035,✌🏽,2019-12-29 00:19:06 UTC
9723,396,2036,✌🏽,2019-12-29 00:19:03 UTC
9722,1592,7728,✌🏽,2019-12-29 00:18:31 UTC
9721,418,,✌🏽,2019-12-29 00:18:17 UTC
9720,1449,7104,👀,2019-12-28 23:53:14 UTC
9719,1848,9205,👀,2019-12-28 13:07:24 UTC
9718,1848,9205,👀,2019-12-28 13:07:20 UTC
9717,2088,,❤️,2019-12-28 03:52:40 UTC
9716,1816,,❤️,2019-12-28 03:46:49 UTC
9715,2191,,✌🏽,2019-12-28 03:46:34 UTC
9714,2191,,❤️,2019-12-28 03:46:34 UTC
9713,1449,,✌🏽,2019-12-28 03:45:37 UTC
9712,1449,,❤️,2019-12-28 03:45:33 UTC
9711,1449,,👀,2019-12-28 03:45:29 UTC
9710,640,3068,❤️,2019-12-28 00:34:00 UTC
9709,1913,9420,❤️,2019-12-26 05:36:13 UTC
9708,1848,9205,👀,2019-12-26 00:41:48 UTC
9707,1976,9804,❤️,2019-12-23 22:17:42 UTC
9706,2169,,👀,2019-12-23 18:17:45 UTC
9705,1848,,👀,2019-12-23 18:13:07 UTC
9704,624,2931,❤️,2019-12-23 06:01:36 UTC
9703,624,2935,👀,2019-12-23 06:01:00 UTC
9702,2153,10708,😅,2019-12-23 00:14:01 UTC
9701,2153,,✌🏽,2019-12-23 00:13:57 UTC
9700,624,,❤️,2019-12-22 21:54:14 UTC
9699,129,666,👀,2019-12-22 16:39:46 UTC
9698,340,1767,❤️,2019-12-22 16:38:24 UTC
9697,624,2935,❤️,2019-12-20 17:37:28 UTC
9696,2153,,❤️,2019-12-20 17:30:53 UTC
9695,1443,,👀,2019-12-20 17:30:46 UTC
9694,1816,,❤️,2019-12-20 17:30:28 UTC
9693,624,2931,😅,2019-12-20 17:29:17 UTC
9692,624,2930,👀,2019-12-20 17:29:07 UTC
9691,2149,,👀,2019-12-20 17:28:50 UTC
9690,2169,10810,✌🏽,2019-12-19 21:44:26 UTC
9689,2184,,👀,2019-12-19 21:43:31 UTC
9688,1712,,✌🏽,2019-12-19 21:40:02 UTC
9687,1976,9806,❤️,2019-12-19 03:33:49 UTC
9686,627,,❤️,2019-12-19 01:16:29 UTC
9685,2191,,❤️,2019-12-19 01:15:21 UTC
9684,2184,,👀,2019-12-19 01:14:25 UTC
9683,617,2896,😭,2019-12-18 19:50:38 UTC
9682,1913,9423,✌🏽,2019-12-18 03:38:23 UTC
9681,1913,9424,✌🏽,2019-12-18 03:38:21 UTC
9680,1913,9420,✌🏽,2019-12-18 03:38:15 UTC
9679,2153,10707,✌🏽,2019-12-18 03:38:05 UTC
9678,2184,10902,✌🏽,2019-12-18 03:37:50 UTC
9677,1443,7069,✌🏽,2019-12-17 02:06:21 UTC
9676,1443,7068,😅,2019-12-17 02:06:20 UTC
9675,1443,7067,😅,2019-12-17 02:06:16 UTC
9674,1443,7066,❤️,2019-12-17 02:06:15 UTC
9673,1443,7065,👀,2019-12-17 02:06:12 UTC
9672,1443,7064,❤️,2019-12-17 02:06:10 UTC
9671,2169,10808,✌🏽,2019-12-17 02:05:40 UTC
9670,1219,,✌🏽,2019-12-16 23:55:48 UTC
9669,1517,,😅,2019-12-16 23:55:05 UTC
9668,424,,😅,2019-12-16 23:53:25 UTC
9667,70,348,😭,2019-12-16 23:52:30 UTC
9666,273,1418,❤️,2019-12-16 03:39:17 UTC
9665,1913,9424,❤️,2019-12-15 15:19:23 UTC
9664,1449,,👀,2019-12-15 12:55:23 UTC
9663,1449,7104,👀,2019-12-14 20:26:12 UTC
9662,1284,6189,❤️,2019-12-14 18:54:45 UTC
9661,86,,👀,2019-12-13 10:17:54 UTC
9660,2141,,❤️,2019-12-13 10:16:07 UTC
9659,2141,,✌🏽,2019-12-13 01:32:41 UTC
9658,2141,,❤️,2019-12-13 01:32:40 UTC
9657,2191,10947,😅,2019-12-12 01:59:47 UTC
9656,2191,10948,❤️,2019-12-11 22:11:29 UTC
9655,1816,9025,❤️,2019-12-11 01:53:07 UTC
9654,1816,9029,❤️,2019-12-11 01:53:04 UTC
9653,1537,7579,❤️,2019-12-11 01:08:36 UTC
9652,1972,,❤️,2019-12-10 22:50:13 UTC
9651,627,,😭,2019-12-10 22:48:26 UTC
9650,2191,,😅,2019-12-10 22:48:12 UTC
9649,1816,9029,❤️,2019-12-10 22:47:29 UTC
9648,1750,,❤️,2019-12-10 19:42:07 UTC
9647,2192,10954,❤️,2019-12-10 18:33:14 UTC
9646,1976,9806,😅,2019-12-10 18:33:02 UTC
9645,1976,9806,😭,2019-12-10 18:32:59 UTC
9644,1976,9806,😭,2019-12-10 18:32:58 UTC
9643,2192,10956,❤️,2019-12-10 18:32:56 UTC
9642,2126,10541,❤️,2019-12-10 18:29:30 UTC
9641,1816,9028,❤️,2019-12-10 15:55:46 UTC
9640,2191,10946,❤️,2019-12-10 15:55:19 UTC
9639,2191,,✌🏽,2019-12-10 15:55:13 UTC
9638,989,4772,👀,2019-12-10 04:40:26 UTC
9637,2153,,👀,2019-12-10 03:59:00 UTC
9636,2153,,❤️,2019-12-10 03:58:58 UTC
9635,2191,,❤️,2019-12-10 03:57:32 UTC
9634,2191,,✌🏽,2019-12-10 03:57:30 UTC
9633,501,,❤️,2019-12-09 09:21:28 UTC
9632,1443,,❤️,2019-12-08 22:35:54 UTC
9631,1816,,❤️,2019-12-08 21:35:47 UTC
9630,1443,,👀,2019-12-08 21:35:33 UTC
9629,1816,,✌🏽,2019-12-08 19:07:03 UTC
9628,1816,9028,❤️,2019-12-08 19:06:39 UTC
9627,1816,9027,😅,2019-12-08 19:06:10 UTC
9626,1443,,❤️,2019-12-07 22:13:15 UTC
9625,1443,7065,✌🏽,2019-12-07 22:12:47 UTC
9624,2154,,❤️,2019-12-06 18:40:40 UTC
9623,2192,,❤️,2019-12-06 18:39:31 UTC
9622,1976,,❤️,2019-12-06 02:26:14 UTC
9621,304,,👀,2019-12-06 00:18:53 UTC
9620,68,,👀,2019-12-06 00:18:04 UTC
9619,2154,10711,👀,2019-12-05 21:52:50 UTC
9618,2154,10712,👀,2019-12-05 21:52:48 UTC
9617,2154,10714,👀,2019-12-05 21:52:45 UTC
9616,2154,10714,👀,2019-12-05 21:52:40 UTC
9615,1976,,❤️,2019-12-05 20:58:18 UTC
9614,2154,,❤️,2019-12-05 20:43:16 UTC
9613,2088,10312,😭,2019-12-05 16:24:43 UTC
9612,2088,10308,👀,2019-12-05 16:23:18 UTC
9611,2154,,❤️,2019-12-04 23:00:55 UTC
9610,2154,10714,❤️,2019-12-04 23:00:51 UTC
9609,2154,10713,❤️,2019-12-04 23:00:49 UTC
9608,2154,10712,❤️,2019-12-04 23:00:42 UTC
9607,2154,10710,❤️,2019-12-04 23:00:34 UTC
9606,2154,10709,👀,2019-12-04 23:00:30 UTC
9605,677,3271,😅,2019-12-04 02:05:27 UTC
9604,677,3272,❤️,2019-12-04 02:05:22 UTC
9603,677,3273,✌🏽,2019-12-04 02:05:15 UTC
9602,677,,✌🏽,2019-12-04 02:05:12 UTC
9601,677,,😅,2019-12-04 02:05:10 UTC
9600,2153,10704,❤️,2019-12-04 01:03:13 UTC
9599,2126,10540,😭,2019-12-02 03:35:22 UTC
9598,2126,10539,😅,2019-12-02 03:35:14 UTC
9597,2126,10537,❤️,2019-12-02 03:34:51 UTC
9596,644,3095,👀,2019-12-02 03:16:28 UTC
9595,496,,👀,2019-12-02 03:16:15 UTC
9594,496,2413,❤️,2019-12-02 03:16:03 UTC
9593,496,2412,✌🏽,2019-12-02 03:15:56 UTC
9592,2153,10703,❤️,2019-12-02 00:24:18 UTC
9591,677,,✌🏽,2019-12-01 05:20:51 UTC
9590,1970,9769,✌🏽,2019-11-30 05:00:16 UTC
9589,2154,10712,👀,2019-11-30 04:59:48 UTC
9588,2154,10711,❤️,2019-11-30 04:59:43 UTC
9587,2154,10713,❤️,2019-11-30 04:59:33 UTC
9586,2154,,❤️,2019-11-30 04:59:30 UTC
9585,627,,✌🏽,2019-11-30 04:59:05 UTC
9584,2153,,✌🏽,2019-11-30 04:58:28 UTC
9583,2088,,❤️,2019-11-30 03:53:34 UTC
9582,203,1038,✌🏽,2019-11-28 21:40:42 UTC
9581,2154,10711,👀,2019-11-28 21:27:32 UTC
9580,2154,10710,👀,2019-11-28 21:27:23 UTC
9579,2154,10709,👀,2019-11-28 21:27:05 UTC
9578,336,,😅,2019-11-28 05:37:01 UTC
9577,317,,✌🏽,2019-11-27 06:33:05 UTC
9576,984,4748,👀,2019-11-27 00:59:54 UTC
9575,54,268,✌🏽,2019-11-27 00:56:50 UTC
9574,165,852,✌🏽,2019-11-27 00:56:13 UTC
9573,165,849,😭,2019-11-27 00:55:44 UTC
9572,2154,10714,✌🏽,2019-11-27 00:54:32 UTC
9571,2154,10712,😅,2019-11-27 00:54:16 UTC
9570,2088,10308,❤️,2019-11-25 17:14:46 UTC
9569,1191,5684,✌🏽,2019-11-25 06:49:35 UTC
9568,677,3273,👀,2019-11-25 06:45:43 UTC
9567,578,2831,❤️,2019-11-25 06:44:49 UTC
9566,617,,❤️,2019-11-25 06:44:40 UTC
9565,1970,9768,😭,2019-11-24 20:23:44 UTC
9564,2088,10312,❤️,2019-11-24 20:21:51 UTC
9563,2154,10712,❤️,2019-11-24 20:19:25 UTC
9562,2154,,❤️,2019-11-24 14:19:11 UTC
9561,2154,,✌🏽,2019-11-24 14:19:02 UTC
9560,55,,✌🏽,2019-11-21 23:22:35 UTC
9559,2154,,😅,2019-11-21 23:21:40 UTC
9558,2154,10710,❤️,2019-11-21 20:49:39 UTC
9557,2153,10705,✌🏽,2019-11-21 16:04:50 UTC
9556,2153,10704,✌🏽,2019-11-21 16:04:44 UTC
9555,2153,10703,✌🏽,2019-11-21 16:04:38 UTC
9554,1972,,👀,2019-11-21 14:32:52 UTC
9553,2126,,👀,2019-11-21 14:31:32 UTC
9552,627,,👀,2019-11-21 07:08:46 UTC
9551,1983,,✌🏽,2019-11-21 07:07:17 UTC
9550,2154,,✌🏽,2019-11-21 07:06:17 UTC
9549,2153,10705,❤️,2019-11-20 22:41:22 UTC
9548,2153,10704,😭,2019-11-20 19:24:34 UTC
9547,2153,10703,😭,2019-11-20 19:24:22 UTC
9546,2153,10707,😭,2019-11-20 19:24:18 UTC
9545,2153,10703,❤️,2019-11-20 19:24:05 UTC
9544,2153,10704,❤️,2019-11-20 19:24:04 UTC
9543,2088,10311,👀,2019-11-20 07:49:26 UTC
9542,2088,10312,😭,2019-11-20 07:49:17 UTC
9541,2088,10313,✌🏽,2019-11-20 07:49:02 UTC
9540,698,3364,👀,2019-11-20 07:48:31 UTC
9539,698,3362,👀,2019-11-20 07:48:25 UTC
9538,2153,10703,😭,2019-11-20 07:47:41 UTC
9537,2153,,👀,2019-11-19 10:03:41 UTC
9536,2154,10714,👀,2019-11-18 22:10:47 UTC
9535,435,,✌🏽,2019-11-17 23:08:12 UTC
9534,435,,✌🏽,2019-11-17 23:08:08 UTC
9533,435,,✌🏽,2019-11-17 23:08:05 UTC
9532,1976,9806,❤️,2019-11-17 20:57:31 UTC
9531,437,,❤️,2019-11-17 16:29:11 UTC
9530,345,1797,✌🏽,2019-11-17 16:21:49 UTC
9529,345,,✌🏽,2019-11-17 16:21:47 UTC
9528,2088,,✌🏽,2019-11-17 16:01:51 UTC
9527,1980,9830,✌🏽,2019-11-17 09:14:14 UTC
9526,1980,9829,✌🏽,2019-11-17 09:14:10 UTC
9525,1980,9828,❤️,2019-11-17 09:14:07 UTC
9524,1980,9826,✌🏽,2019-11-17 09:14:00 UTC
9523,1980,9825,✌🏽,2019-11-17 09:13:53 UTC
9522,1981,9835,✌🏽,2019-11-17 09:12:26 UTC
9521,1981,9833,😭,2019-11-17 09:12:12 UTC
9520,1981,9832,😭,2019-11-17 09:11:55 UTC
9519,1981,9831,❤️,2019-11-17 09:11:44 UTC
9518,1976,,❤️,2019-11-17 09:00:35 UTC
9517,2153,,👀,2019-11-17 07:00:47 UTC
9516,2153,,❤️,2019-11-17 07:00:45 UTC
9515,1712,8413,❤️,2019-11-16 14:21:42 UTC
9514,1712,8413,😭,2019-11-16 14:21:34 UTC
9513,2154,,❤️,2019-11-15 19:27:17 UTC
9512,1976,9805,❤️,2019-11-13 17:18:09 UTC
9511,1972,9778,👀,2019-11-13 17:17:44 UTC
9510,338,1756,✌🏽,2019-11-12 13:54:04 UTC
9509,338,1753,❤️,2019-11-12 13:53:59 UTC
9508,631,2973,❤️,2019-11-12 13:53:49 UTC
9507,631,2974,😅,2019-11-12 13:53:32 UTC
9506,624,2934,✌🏽,2019-11-12 13:53:13 UTC
9505,1976,,❤️,2019-11-11 15:01:14 UTC
9504,2126,,😭,2019-11-11 15:00:41 UTC
9503,2126,,😭,2019-11-11 15:00:35 UTC
9502,1980,9828,❤️,2019-11-11 05:10:26 UTC
9501,1980,9829,❤️,2019-11-11 05:10:15 UTC
9500,1976,9806,❤️,2019-11-11 05:09:38 UTC
9499,2088,10309,❤️,2019-11-11 00:51:24 UTC
9498,628,,✌🏽,2019-11-10 19:20:37 UTC
9497,1976,,❤️,2019-11-10 00:05:22 UTC
9496,2126,10542,❤️,2019-11-10 00:03:04 UTC
9495,2126,10541,❤️,2019-11-10 00:02:52 UTC
9494,2126,10540,😭,2019-11-10 00:02:37 UTC
9493,2126,10539,😭,2019-11-10 00:02:29 UTC
9492,2126,10538,❤️,2019-11-10 00:02:21 UTC
9491,2126,10537,👀,2019-11-10 00:02:04 UTC
9490,1976,,❤️,2019-11-09 21:22:45 UTC
9489,626,,😅,2019-11-09 19:45:48 UTC
9488,1981,9836,❤️,2019-11-09 17:49:53 UTC
9487,1981,,❤️,2019-11-09 17:49:50 UTC
9486,619,2906,😅,2019-11-09 16:53:18 UTC
9485,578,,👀,2019-11-09 15:07:50 UTC
9484,578,2830,👀,2019-11-09 15:07:23 UTC
9483,578,2828,👀,2019-11-09 15:06:40 UTC
9482,631,,😅,2019-11-08 19:15:36 UTC
9481,698,,✌🏽,2019-11-08 19:13:30 UTC
9480,256,1332,😭,2019-11-08 19:11:34 UTC
9479,1781,8835,👀,2019-11-08 19:11:32 UTC
9478,256,1326,👀,2019-11-08 19:11:09 UTC
9477,256,1325,❤️,2019-11-08 19:10:56 UTC
9476,720,,👀,2019-11-08 19:10:49 UTC
9475,1972,,😅,2019-11-08 19:10:26 UTC
9474,617,2896,😅,2019-11-08 19:09:03 UTC
9473,50,,👀,2019-11-08 19:08:42 UTC
9472,1970,,❤️,2019-11-08 19:07:26 UTC
9471,644,,✌🏽,2019-11-08 19:06:59 UTC
9470,640,3068,👀,2019-11-08 19:06:16 UTC
9469,624,2935,😭,2019-11-08 19:05:55 UTC
9468,1972,,✌🏽,2019-11-08 19:05:43 UTC
9467,578,2831,😭,2019-11-08 19:05:31 UTC
9466,1976,,👀,2019-11-08 19:05:19 UTC
9465,617,,😭,2019-11-08 19:05:15 UTC
9464,677,,😅,2019-11-08 18:21:04 UTC
9463,1972,,❤️,2019-11-08 18:21:00 UTC
